id,name,measurement
1,Кислота сірчана концентрована,мл
3,Сульфат калію  K2SO4,г
4,Селен,г
5,Борна кислота H3BO3,г
6,Метиловий синій,г
7,Метиловий червоний,г
10,Трилон Б 0,1Н ст.титр,шт
12,Калій хлористий,г
13,Вода H2O,мл
14,Гідроксид натрію NaOH,г
15,перекис водню,мл
16,сечовина (карбамід),г
17,хлороформ,мл
18,ефір петролейний (масло шервуда) (40-65),мл
21,калій сірчанокислий х.ч.,г
22,гідроксид калію (їдкий) ч.д.а.,г
23,Феноловий червоний чда,г
24,метиловий помаранчевий чда,г
25,ацетанілід,г
26,аммоній ванадієвокислий чда,г
27,аммоній молібденовокислий,г
28,крохмаль водорозчинний чда,г
29,Калій йодистий чда,г
30,фенолфталеїн чда,г
31,П-диметиламіно-бензальдегід чда,г
32,Срібло азотнокисле (набір для визначення альдегідів),шт
33,Стандарт-титр фосфати (Тип4 рН-6.86),шт
34,залізоамонійний галун чда,г
35,трилон Б стандарт-титр 0,1Н,шт
36,аммоній роданістий стандарт-титр 0,1Н,шт
37,тіосульфат натрію стандарт-титр 0,1Н,шт
38,Спирт етиловий,мл
39,Мідь сірчанокисла чда,г
40,гідроксид калію стандарт-титр 0,1Н,шт
41,гідроксид натрію стандарт-титр 0,1Н,шт
42,кислота сірчана стандарт-титр 0,1Н,шт
43,кислота соляна стандарт-титр 0,1Н,шт
44,кислота соляна концентрована хч,мл
45,Ефір діетиловий фарм,мл
46,гідроксиламін солянокислий чда,г
47,натрій лимоннокислий 3-заміщений 5,5 водний чда,г
48,Оцтова кислота крижана, хч,мл
49,натрій тетраборнокислий (бура) 10-водний ч.,г
50,калій залізосинеродистий (жовта кров`яна сіль) чда,г
51,кальцеїн чда,г
52,калій фосфорнокислий 1-заміщений чда,г
53,Культура Колпода,шт
54,кислота азотна (концентрована) чда,мл
55,Н2О dist.,мл
56,Стандарт-титр фосфати (Тип № 3 рН 4,01),шт
57,Стандарт-титр фосфати (Тип 5 рН 9,18),шт
58,розчин для заповнення електродів КСL,шт
59,Пакери фільтрувальні для клітковини,шт
60,цинк оцтовокислий,г
